id;name;description;producer;release_date;video_url
1;Home SDD cyan;Brunei Darussalam Orchestrator Fish;Washington;2020-05-13;bypass optical Investment Account
2;Home Loan Account Wooden Plastic;Computers Cotton;customized paradigms Granite;2020-05-14;multi-state Generic Tuna
3;e-tailers;Licensed Rubber Shirt;discrete;2020-05-14;transmit Human value-added
4;Handmade violet bandwidth;Legacy Lead;Hat Accountability;2020-05-13;Direct
5;Incredible Wooden Salad Handmade workforce;Cambridgeshire;Dynamic composite;2020-05-13;program
6;Texas markets;generate;Savings Account Philippine Peso;2020-05-14;evolve circuit Russian Federation
7;Virginia;1080p Mouse;mindshare Health Wisconsin;2020-05-13;yellow bluetooth
8;reintermediate;Kyat Indian Rupee Pizza;Massachusetts West Virginia;2020-05-13;Svalbard & Jan Mayen Islands
9;leverage Tools payment;Handcrafted grey;blue Cambridgeshire;2020-05-14;monitor
10;optical;synthesizing Automotive;Soap Credit Card Account parsing;2020-05-13;orange Frozen Cross-group
